id,tested_positive
0,8.594368934631348
1,8.070097923278809
2,4.962044715881348
3,8.978368759155273
4,17.724014282226562
5,13.78491497039795
6,10.19956111907959
7,14.357301712036133
8,12.461405754089355
9,11.093659400939941
10,8.041272163391113
11,9.736685752868652
12,9.599419593811035
13,16.151718139648438
14,14.160995483398438
15,6.603093147277832
16,9.380240440368652
17,5.151232719421387
18,8.284825325012207
19,9.442107200622559
20,20.097436904907227
21,5.500638008117676
22,9.70674991607666
23,10.137887954711914
24,13.912638664245605
25,19.023544311523438
26,24.872621536254883
27,8.832186698913574
28,6.191092491149902
29,16.12368392944336
30,12.721758842468262
31,4.207192420959473
32,11.74920654296875
33,9.119683265686035
34,9.111019134521484
35,5.831183433532715
36,13.339900970458984
37,15.823877334594727
38,10.241414070129395
39,13.9189453125
40,14.310873031616211
41,25.224939346313477
42,5.303919792175293
43,11.335007667541504
44,24.36168670654297
45,23.288524627685547
46,17.639244079589844
47,5.557955741882324
48,10.223586082458496
49,4.8888444900512695
50,4.584983825683594
51,7.1460065841674805
52,13.371112823486328
53,16.56850242614746
54,16.44329071044922
55,18.378990173339844
56,17.193519592285156
57,11.661100387573242
58,25.00710678100586
59,8.440592765808105
60,17.805194854736328
61,19.385236740112305
62,11.98100757598877
63,17.2131404876709
64,20.081693649291992
65,13.49660587310791
66,9.892362594604492
67,5.5737152099609375
68,8.111824989318848
69,16.28680992126465
70,21.945594787597656
71,20.86387825012207
72,5.539975166320801
73,11.994253158569336
74,18.567060470581055
75,14.083422660827637
76,16.283456802368164
77,13.375490188598633
78,10.387917518615723
79,16.330514907836914
80,22.818344116210938
81,5.584772109985352
82,23.18670082092285
83,16.628036499023438
84,23.65687370300293
85,9.71353530883789
86,8.467535972595215
87,17.357759475708008
88,25.57805061340332
89,5.512203216552734
90,15.8363676071167
91,16.849868774414062
92,18.68273162841797
93,21.149568557739258
94,19.425378799438477
95,11.221697807312012
96,29.902151107788086
97,10.298125267028809
98,20.644641876220703
99,19.118886947631836
100,20.13810920715332
101,17.749414443969727
102,8.343820571899414
103,16.88587188720703
104,18.972196578979492
105,11.8985595703125
106,18.149368286132812
107,19.501115798950195
108,6.373085021972656
109,20.98354721069336
110,23.475601196289062
111,19.00388526916504
112,22.576229095458984
113,21.1311092376709
114,11.01686954498291
115,6.553215026855469
116,20.30300521850586
117,11.864068031311035
118,23.63265609741211
119,17.536958694458008
120,21.552080154418945
121,7.560223579406738
122,11.39127254486084
123,12.007025718688965
124,19.039352416992188
125,9.266022682189941
126,12.817716598510742
127,14.39984130859375
128,15.807948112487793
129,9.318490982055664
130,15.235859870910645
131,5.57688045501709
132,8.3298978805542
133,5.377820014953613
134,12.548969268798828
135,18.869089126586914
136,17.914508819580078
137,20.64822769165039
138,5.496332168579102
139,12.012904167175293
140,11.092647552490234
141,9.908675193786621
142,10.387595176696777
143,11.212099075317383
144,23.633586883544922
145,9.027531623840332
146,11.672602653503418
147,17.133926391601562
148,22.9000186920166
149,15.74348258972168
150,11.755682945251465
151,17.332792282104492
152,11.151847839355469
153,9.15689468383789
154,21.328311920166016
155,13.36900520324707
156,14.15236759185791
157,27.74729347229004
158,21.593719482421875
159,17.01142120361328
160,12.536718368530273
161,16.927162170410156
162,9.643461227416992
163,19.458568572998047
164,9.17573070526123
165,21.71855354309082
166,11.311285972595215
167,16.189104080200195
168,10.668305397033691
169,5.937249183654785
170,13.169332504272461
171,12.75735855102539
172,10.751435279846191
173,13.319101333618164
174,23.22075080871582
175,5.683669090270996
176,5.292585372924805
177,21.87973403930664
178,13.543668746948242
179,12.914515495300293
180,19.60829734802246
181,18.835657119750977
182,8.94767951965332
183,10.979228019714355
184,12.077884674072266
185,11.68561840057373
186,13.742562294006348
187,21.897228240966797
188,7.391748428344727
189,11.803903579711914
190,6.094402313232422
191,5.523990631103516
192,19.108156204223633
193,10.167972564697266
194,9.320951461791992
195,18.282581329345703
196,20.038883209228516
197,16.14080810546875
198,6.07762336730957
199,20.13038444519043
200,7.147163391113281
201,12.377822875976562
202,21.589244842529297
203,19.8765811920166
204,19.039644241333008
205,8.702467918395996
206,9.857196807861328
207,7.962763786315918
208,11.381948471069336
209,19.577253341674805
210,10.671749114990234
211,13.978967666625977
212,19.892175674438477
